iteration,instance_idx,stress
17,7,684514.4421060336
17,8,605835.8527808829
17,9,582349.0384032131
18,0,601697.7979793343
18,1,1096319.538629985
18,2,947558.2474003693
18,3,694317.6995562429
18,4,689005.2089447542
18,5,1248769.3911957028
18,6,593511.837757242
18,7,553564.7049600872
18,8,573670.2966937609
18,9,747846.3152205442
19,0,956757.4042988869
19,1,777284.8598994514
19,2,933554.9732691867
19,3,668133.0958933368
19,4,942895.6628942995
19,5,1470375.1195710823
19,6,1011555.3043790859
19,7,578438.0351947651
19,8,1093317.0088675423
19,9,1133392.8195014058
20,0,961341.2517698306
20,1,1033787.7417887287
20,2,897798.3577850623
20,3,715122.2344490082
20,4,1621622.025972388
20,5,651904.8492222503
20,6,697407.0583088883
20,7,659128.9021201576
20,8,824967.7204462583
20,9,568873.3797294826
21,0,1240014.193530012
21,1,712319.1197819484
21,2,1420080.0837220068
21,3,702532.4593074152
21,4,1715021.0062959273
21,5,598484.7448139618
21,6,922187.743027897
21,7,556359.3181579201
21,8,600738.2593083831
21,9,1252383.6537525803
22,0,566770.055415419
22,1,1080308.2884487873
22,2,1274284.8631376198
22,3,571264.2545659075
22,4,1147286.1119362495
22,5,723100.8614974624
22,6,559605.4706485857
22,7,761914.1410573757
22,8,1172830.5156160775
22,9,1350887.0060405706
23,0,549188.2106051801
23,1,914524.6778801298
23,2,1498891.4450630292
23,3,732148.0132251544
23,4,1300868.3309703283
23,5,1046661.7103712832
23,6,1146310.4949813245
23,7,658354.0454968468
23,8,598599.1918936304
23,9,953933.9282121327
24,0,1267976.6296576657
24,1,560487.7961017594
24,2,630534.5137263348
24,3,855955.4349202644
24,4,870906.1221613869
24,5,621806.8966105627
24,6,1188427.2310751586
24,7,824700.2571181803
24,8,1629786.1090180313
24,9,738313.1824176852
25,0,688116.9461034301
25,1,724099.43915768
25,2,1391524.3097237817
25,3,1082234.684214993
25,4,639352.0519250487
25,5,1266407.3925674665
25,6,814805.6602747322
25,7,1215893.64107186
25,8,1174516.7149487343
25,9,650088.5035385329
