iteration,stress
0,1867501.319402333
0,1287025.9991750764
0,683779.953689694
0,672564.9935414575
0,653030.4441162299
1,565740.2792254486
2,561901.3687968227
6,554955.3924018338
8,531858.3259805433
13,528631.2666724748
37,514506.30272541236
